;NUM_ART;variable;value;QTE_VTE;Standard_CPQ;score;score_cum;flag_alerte;flag_inv;flag_stk;score_cum_before;flag_inv_before;flag_inv_3weeks;flag_stk_cpq;valueStockSuspect;flag_match_vekia
117;63771183;2020-02-14;0.0009683333333333333;0.0;3.0;0.0003227777777777778;0.0067527777777777786;1;;;0.006430000000000001;;;;;
118;70892052;2020-02-14;0.0007417666666666667;0.0;1.0;0.0007417666666666667;0.006891033333333334;1;;;0.006149266666666668;;;;;
119;82012040;2020-02-14;0.0;0.0;2.0;0.0;0.007106666666666666;1;;;0.007106666666666666;;;;;
120;65790781;2020-02-14;0.0;0.0;2.0;0.0;0.007106666666666666;1;;;0.007106666666666666;;;;;
121;70891891;2020-02-14;0.0023297999999999995;0.0;3.0;0.0007765999999999998;0.0072135222222222215;1;;;0.006436922222222222;;;;;
122;70891863;2020-02-14;0.0013027666666666667;0.0;2.0;0.0006513833333333333;0.0072736250000000014;1;;;0.006622241666666668;;;;;
123;66931893;2020-02-14;0.0;0.0;2.0;0.0;0.007315;1;;;0.007315;;;;;
124;70766731;2020-02-14;0.0;0.0;2.0;0.0;0.007315833333333335;1;;;0.007315833333333335;;;;;
125;73672676;2020-02-14;0.0;0.0;2.0;0.0;0.007316666666666666;1;;;0.007316666666666666;;;;;
126;66931564;2020-02-14;0.0009133333333333333;0.0;2.0;0.00045666666666666664;0.007364166666666669;1;;;0.006907500000000002;;;;;
127;66423301;2020-02-14;0.0;0.0;8.0;0.0;0.007463333333333334;1;;;0.007463333333333334;;;;;
128;80131698;2020-02-14;0.0;0.0;2.0;0.0;0.007524999999999999;1;;;0.007524999999999999;;;;;
129;68268585;2020-02-14;0.0;0.0;2.0;0.0;0.007607499999999999;1;;;0.007607499999999999;;;;;
130;68539100;2020-02-14;0.0;0.0;5.0;0.0;0.007643666666666666;1;;;0.007643666666666666;;;;;
131;65987061;2020-02-14;0.0;0.0;2.0;0.0;0.007803333333333333;1;;;0.007803333333333333;;;;;
132;69573546;2020-02-14;0.0;0.0;3.0;0.0;0.007803888888888887;1;;;0.007803888888888887;;;;;
133;80128631;2020-02-14;0.0;0.0;1.0;0.0;0.007885;1;;;0.007885;;;;;
134;67905453;2020-02-14;0.0;0.0;1.0;0.0;0.007885;1;;;0.007885;;;;;
135;61553884;2020-02-14;1.0923566666666666;0.75;4.0;0.08558916666666666;0.00794874999999938;1;;;-0.07764041666666728;;;;;
136;67551925;2020-02-14;0.0;0.0;2.0;0.0;0.007974999999999998;1;;;0.007974999999999998;;;;;
137;64997233;2020-02-14;0.0;0.0;2.0;0.0;0.008015000000000003;1;;;0.008015000000000003;;;;;
138;81969525;2020-02-14;0.0;0.0;6.0;0.0;0.008272499999999999;1;;;0.008272499999999999;;;;;
139;63336910;2020-02-14;0.0;0.0;2.0;0.0;0.008397499999999999;1;;;0.008397499999999999;;;;;
140;66892686;2020-02-14;0.0;0.0;2.0;0.0;0.008397499999999999;1;;;0.008397499999999999;;;;;
141;64028265;2020-02-14;0.0;0.0;2.0;0.0;0.008513333333333331;1;;;0.008513333333333331;;;;;
142;70794906;2020-02-14;0.0;0.0;1.0;0.0;0.00865;1;;;0.00865;;;;;
143;70794864;2020-02-14;0.0;0.0;1.0;0.0;0.00865;1;;;0.00865;;;;;
144;70853405;2020-02-14;0.0;0.0;1.0;0.0;0.00865;1;;;0.00865;;;;;
145;80035081;2020-02-14;0.0;0.0;1.0;0.0;0.00865;1;;;0.00865;;;;;
146;82011848;2020-02-14;0.00021833333333333332;0.0;4.0;5.458333333333333e-05;0.008825416666666667;1;;;0.008770833333333334;;;;;
147;67346181;2020-02-14;0.29891833333333334;0.0;10.0;0.029891833333333333;0.008881499999999994;1;;;-0.02101033333333334;;;;;
